,CODIGO_CAT,AREA_OPERATIVA,NOMBRE,TIPO,CLASE,CATEG,ESTADO_CAT,CORRIENTE,DEPTO,MPIO,LATITUD,LONGITUD,ALTITUD,FECHA_INST,FECHA_SUSP,ID_STZ_SCADA,DCP_ADDRESS,ESTADO2,TRANSMISION,SINIESTRO,VECINO,D_VECINO,VECINO_CORREINTE,D_VECINO_CORRIENTE,TAir2m,TAir10cm,TS10cm,TS30cm,TS50cm,HRAire2m,HRAire10cm,HRSueloCorto,HRSueloMedio,HRSueloLargo,RadG,RadV,Evap,PresAtm,VelVi,DirVi,Prcptcn,Nvl,PROPIETARIO,Convencional_asociada,FECHA_REVISION,LAST_DATE,ON_LINE,SERVIDOR,GananciaAntena,AlertaGananciaAntenaBajando,NOAA_INMARSAT,CorrelaTempAire2m,EstadoTempAire2m,TempAire2m,CorrelaTempAire10cm,EstadoTempAire10cm,TempAire10cm,CorrelaTempS20,TempS20,EstadTempS20,CorrelaTempS50,TempS50,EstadoTempS50,CorrelaTempS100,TempS100,EstadoTempS100,EstadoHumAire2m,CorrelaHumAire2m,HumAire2m,EstadoHumAire10cm,CorrelaHumAire10cm,HumAire10cm,CorrelaHumaS20,EstadoHumaS20,HumaS20,HumaS30,CorrelaHumaS30,EstadoHumaS30,CorrelaHumaS100,HumaS100,EstadoHumaS100,CorrelaRadiacionG,EstadoRadicionG,RadGlobal,CorrelaRadiacionV,EstadoRadiacionV,RadVisible,CorrelaEvaporacion,EstadoEvaporacion,Evaporacion,CorreralPresionAtm,EstadoPresionAtm,PresionAtmosferica,EstadoVelViento,VelViento,CorrelaVelViento,EstadoDirViento,CorrelaDirViento,DirViento,EstadoPluvio,CorrelaPrecipitacion,Precipitacion,CorrelaNivel,EstadoNivel,Nivel,EstBateria,Bateria
0,11017020,1,BAGADO,AUT ,HID ,,ACT ,Río Andágueda,Chocó,Bagadó,5.412,-76.41788889,90.0,,,1657,CB113506,0,GOES,0.0,11027050,16.406412956653167,-1,99999,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,-1,2019-12-30 01:07:53.638813,2019-07-29 08:00:00.000000,OFF_LINE,HYDRAS,,,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATOS_ANOMALOS_FUERA_DE_RANGO DISPO 0.00%,,13107.2,,OK DISPO 100.00%,2.4,OK,
1,11027030,1,SIETE EL,AUT,HID,,ACT,Alto Atrato,Chocó,El Carmen (Choco),5.862,-76.1520556,2300.0,,,267,-1,0,INMARSAT,0.0,26197020,24.3389378058497,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FONDO,-1,2019-12-30 01:07:57.330018,2019-12-30 01:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,,0.1,,OK DISPO 100.00%,1.8,OK,12.8
2,11027050,1,GINDRAMA,AUT,HID,,ACT,,CHOCO,LLORO,5.52155556,-76.51772222,71.0,,,1131,,0,GOES,0.0,11027070,6.469472179315052,26197020,73,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,-1,2019-12-30 01:07:59.450159,2019-12-30 00:00:00.000000,ON_LINE,SCADA,-1.0,,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUSER DISPO 0.00%,,,,OK DISPO 100.00%,2.8,OK,12.5
3,11027070,1,BORAUDO,AUT,HID,LG,ACT,ATRATO,CHOCO,LLORO,5.51461111,-76.575694444,78.0,2019-05-20 00:00:00.000000,,1136,CB118688,0,GOES,0.0,1117500060,0.019690356491586247,11047040,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,IDEAM,-1,2019-12-30 01:08:01.517115,2019-12-30 00:00:00.000000,ON_LINE,SCADA,48.0,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,2.1,OK,13.0
4,11030010,9,CERTEGUI ,AUT ,MET ,,ACT ,Río Quito,Chocó,Cértegui,5.37502778,-76.61311111,72.0,,,1664,CB11D6F4,0,GOES,0.0,11175000,0.9714540586107029,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,11037020,2019-12-30 01:08:05.433605,2019-12-30 00:30:00.000000,ON_LINE,SCADA,38.0,,OK,,OK DISPO 100.00%,26.4,,,,,,,,,,,,,OK DISPO 100.00%,,95.8,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,1004.3,OK DISPO 99.80%,1.0,,OK DISPO 99.80%,,180.9,OK DISPO 99.80%,,0.2,,,,OK,12.8
5,11035030,1,UNION PANAMERICANA,AUT ,MET ,,ACT ,Río Quito,Chocó,Unión Panamericana ( Animas),5.28482778,-76.62782222,110.0,,,1659,CB123208,0,GOES,0.0,54017040,7.535652322052055,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,-1,2019-12-30 01:08:10.298964,2019-11-23 19:30:00.000000,OFF_LINE,HYDRAS,,,DESCONOCIDO,,OK DISPO 0.00%,25.8,,,,,,,,,,,,,OK DISPO 0.00%,,100.0,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 0.00%,999.7,OK DISPO 0.00%,0.4,,OK DISPO 0.00%,,117.0,OK DISPO 0.00%,,0.0,,,,OK,
6,11037030,1,LA LOMA PUEBLO ,AUT,HMT,LG,ACT,QUITO,CHOCO,RIO QUITO (PaimadO),5.58466666666667,-76.7532777777778,72.0,2005-04-15 00:00:00.000000,,-1,CB15234A,SINIESTRO,GOES,1.0,11047040,16.085053240609184,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,-1,2019-12-30 01:08:10.299966,,SINIESTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11045010,1,AEROPUERTO EL CARANO,AUT ,MET ,,ACT ,Río Cabi,Chocó,Quibdó,5.69055556,-76.64377778,75.0,,,1673,CB1641A2,0,GOES,0.0,11047040,2.206147545680415,-1,99999,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CHOCO,-1,2019-12-30 01:08:14.596940,2019-12-30 00:40:00.000000,ON_LINE,SCADA,40.0,,OK,,OK DISPO 100.00%,26.1,,,,,,,,,,,,,OK DISPO 100.00%,,94.9,,,,,,,,,,,,,,OK DISPO 100.00%,112.4,,,,,,,,OK DISPO 100.00%,1002.6,OK DISPO 99.90%,1.5,,OK DISPO 99.90%,,192.3,OK DISPO 99.80%,,0.2,,,,OK,12.8
8,11047010,1,BELEN,AUT,HID,LG,ACT,ATRATO,CHOCO,QUIBDO,5.7648333,-76.669666667,26.0,2019-05-22 00:00:00.000000,,1138,CB11760C,0,GOES,0.0,11047040,7.437115578934494,11047040,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,IDEAM,11047010,2019-12-30 01:08:15.923057,2019-12-30 00:00:00.000000,ON_LINE,SCADA,50.0,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,8.0,OK,12.9
9,11047040,1,QUIBDO,AUT,HMT,LG,ACT,ATRATO,CHOCO,QUIBDO,5.69799166666667,-76.6622583333333,307.0,2008-11-30 00:00:00.000000,1970-01-01 00:00:00.000000,171,-1,0,INMARSAT,0.0,11045010,2.206147545680415,11047010,7,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,IDEAM,11047020,2019-12-30 01:08:19.425541,2019-12-30 01:00:00.000000,ON_LINE,SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK DISPO 100.00%,,0.1,,OK DISPO 100.00%,4.9,OK,12.8
